,TEAM,LOCATION,OPPONENT,DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
332,OKC,Away,HOU,01/20/2020,W,240,112,40,92,43.5,12,32,37.5,20,26,76.9,7,40,47,14,8,6,13,18,5
333,HOU,Home,OKC,01/20/2020,L,240,107,43,97,44.3,9,45,20.0,12,17,70.6,9,34,43,21,6,7,11,23,-5
334,NYK,Away,CLE,01/20/2020,W,240,106,41,85,48.2,9,23,39.1,15,17,88.2,7,42,49,17,6,9,10,17,20
335,CLE,Home,NYK,01/20/2020,L,240,86,32,94,34.0,11,33,33.3,11,17,64.7,16,37,53,15,5,4,10,14,-20
336,LAL,Away,BOS,01/20/2020,L,240,107,39,89,43.8,7,26,26.9,22,29,75.9,12,24,36,22,5,8,15,23,-32
337,BOS,Home,LAL,01/20/2020,W,240,139,52,93,55.9,16,34,47.1,19,29,65.5,14,34,48,31,10,5,12,26,32
338,PHI,Away,BKN,01/20/2020,W,240,117,42,94,44.7,13,39,33.3,20,27,74.1,12,31,43,30,12,6,13,24,6
339,BKN,Home,PHI,01/20/2020,L,240,111,39,81,48.1,11,29,37.9,22,34,64.7,13,34,47,22,7,2,22,23,-6
340,SAS,Away,PHX,01/20/2020,W,240,120,43,87,49.4,17,31,54.8,17,22,77.3,6,25,31,30,12,7,9,23,2
341,PHX,Home,SAS,01/20/2020,L,240,118,42,80,52.5,8,22,36.4,26,30,86.7,8,35,43,26,3,3,14,19,-2
342,IND,Away,DEN,01/19/2020,W,240,115,43,86,50.0,13,29,44.8,16,19,84.2,11,27,38,31,1,4,15,25,8
343,DEN,Home,IND,01/19/2020,L,240,107,41,88,46.6,3,23,13.0,22,32,68.8,12,32,44,22,10,4,9,19,-8
344,SAS,Home,MIA,01/19/2020,W,240,107,36,85,42.4,12,33,36.4,23,24,95.8,9,34,43,27,5,4,11,18,5
345,MIA,Away,SAS,01/19/2020,L,240,102,37,86,43.0,10,34,29.4,18,20,90.0,10,37,47,23,8,3,10,19,-5
346,LAC,Away,NOP,01/18/2020,W,240,133,46,93,49.5,10,31,32.3,31,39,79.5,10,26,36,22,12,2,12,29,3
347,NOP,Home,LAC,01/18/2020,L,240,130,46,86,53.5,15,41,36.6,23,36,63.9,12,36,48,32,7,4,21,26,-3
348,OKC,Home,POR,01/18/2020,W,240,119,43,83,51.8,7,22,31.8,26,36,72.2,12,36,48,25,5,4,13,20,13
349,POR,Away,OKC,01/18/2020,L,240,106,39,91,42.9,12,32,37.5,16,21,76.2,12,28,40,11,7,7,12,28,-13
