,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
113,Danilo Gallinari,DEFENSIVE_REBOUND,None,1:33,2,Clippers,Grizzlies,45 - 57,1,N/A,N/A,N/A
114,Montrezl Harrell,FG_ASSISTED,Danilo Gallinari,1:13,2,Clippers,Grizzlies,45 - 59,1,0,2,Layup
115,Patrick Beverley,FOUL_ON_FLOOR,None,1:05,2,Clippers,Grizzlies,45 - 59,1,N/A,N/A,N/A
116,Delon Wright,FT,None,1:05,2,Grizzlies,Clippers,46 - 59,0,N/A,1,N/A
117,Delon Wright,FT_MISS,None,1:05,2,Grizzlies,Clippers,46 - 59,0,N/A,1,N/A
118,Landry Shamet,DEFENSIVE_REBOUND,None,1:00,2,Clippers,Grizzlies,46 - 59,1,N/A,N/A,N/A
119,Landry Shamet,FG_MISS,Julian Washburn,55.2,2,Grizzlies,Clippers,46 - 59,1,0,2,Layup
120,Ivan Rabb,DEFENSIVE_REBOUND,None,51.7,2,Grizzlies,Clippers,46 - 59,0,N/A,N/A,N/A
121,Justin Holiday,FG_MISS,None,50.0,2,Grizzlies,Clippers,46 - 59,0, ,3,Jumper
122,Danilo Gallinari,DEFENSIVE_REBOUND,None,46.6,2,Clippers,Grizzlies,46 - 59,1,N/A,N/A,N/A
123,Ivan Rabb,FOUL_ON_FLOOR,None,37.1,2,Grizzlies,Clippers,46 - 59,0,N/A,N/A,N/A
124,Montrezl Harrell,FT,None,37.1,2,Clippers,Grizzlies,46 - 60,1,N/A,1,N/A
125,Jonas Valanciunas,SUBSTITUTION,Rabb Ivan,37.1,2,Grizzlies,Clippers,46 - 60,0,N/A,N/A,N/A
126,Montrezl Harrell,FT,None,37.1,2,Clippers,Grizzlies,46 - 61,1,N/A,1,N/A
127,Tyler Dorsey,FG_MISS,None,30.0,2,Grizzlies,Clippers,46 - 61,0,25,3,Jumper
128,Montrezl Harrell,DEFENSIVE_REBOUND,None,27.6,2,Clippers,Grizzlies,46 - 61,1,N/A,N/A,N/A
129,Danilo Gallinari,TURNOVER,Justin Holiday,7.1,2,Clippers,Grizzlies,46 - 61,1,N/A,N/A,N/A
130,Delon Wright,FG_MISS,None,2.9,2,Grizzlies,Clippers,46 - 61,0, ,3,Jumper
