,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
50,Team,Unknown,None,5:47,3,Lakers,Pistons,61 - 72,1,N/A,N/A,N/A
51,Ivica Zubac,SUBSTITUTION,Ball Lonzo,5:47,3,Lakers,Pistons,64 - 72,1,N/A,N/A,N/A
52,Kentavious Caldwell-Pope,SUBSTITUTION,McGee JaVale,5:47,3,Lakers,Pistons,64 - 72,1,N/A,N/A,N/A
53,Brandon Ingram,FG_UNASSISTED,None,5:29,3,Lakers,Pistons,64 - 74,1,13,3,Jumper
54,Reggie Jackson,FG_MISS,None,5:04,3,Pistons,Lakers,64 - 74,0,24,3,Jumper
55,Kyle Kuzma,DEFENSIVE_REBOUND,None,5:02,3,Lakers,Pistons,64 - 74,1,N/A,N/A,N/A
56,Kentavious Caldwell-Pope,FG_MISS,None,4:56,3,Lakers,Pistons,64 - 74,1,28,3,Jumper
57,Andre Drummond,DEFENSIVE_REBOUND,None,4:54,3,Pistons,Lakers,64 - 74,0,N/A,N/A,N/A
58,Kyle Kuzma,FOUL_ON_FLOOR,None,4:52,3,Lakers,Pistons,64 - 74,1,N/A,N/A,N/A
59,Blake Griffin,FG_MISS,None,4:40,3,Pistons,Lakers,64 - 74,0,4,3,Jumper
60,Bruce Brown,OFFENSIVE_REBOUND,None,4:35,3,Pistons,Lakers,64 - 74,0,N/A,N/A,N/A
61,Bruce Brown,FG_UNASSISTED,None,4:35,3,Pistons,Lakers,66 - 74,0, ,3,Jumper
62,Bruce Brown,FOUL_ON_FLOOR,None,4:22,3,Pistons,Lakers,66 - 74,0,N/A,N/A,N/A
63,Stanley Johnson,SUBSTITUTION,Brown Bruce,4:22,3,Pistons,Lakers,66 - 74,0,N/A,N/A,N/A
64,Luke Kennard,SUBSTITUTION,Bullock Reggie,4:22,3,Pistons,Lakers,66 - 74,0,N/A,N/A,N/A
65,Reggie Jackson,FOUL_ON_FLOOR,None,4:08,3,Pistons,Lakers,66 - 74,0,N/A,N/A,N/A
66,Kyle Kuzma,FT,None,4:08,3,Lakers,Pistons,66 - 75,1,N/A,1,N/A
67,Jose Calderon,SUBSTITUTION,Jackson Reggie,4:08,3,Pistons,Lakers,66 - 75,0,N/A,N/A,N/A
68,Kyle Kuzma,FT,None,4:08,3,Lakers,Pistons,66 - 76,1,N/A,1,N/A
69,Stanley Johnson,FG_MISS,Josh Hart,3:47,3,Lakers,Pistons,66 - 76,0,15,3,Jumper
70,Ivica Zubac,DEFENSIVE_REBOUND,None,3:44,3,Lakers,Pistons,66 - 76,1,N/A,N/A,N/A
71,Kyle Kuzma,FG_ASSISTED,Kentavious Caldwell-Pope,3:35,3,Lakers,Pistons,66 - 78,1,0,2,Layup
72,Andre Drummond,Unknown,None,3:35,3,Pistons,Lakers,66 - 78,0,N/A,N/A,N/A
73,Stanley Johnson,FG_MISS,None,3:19,3,Pistons,Lakers,66 - 78,0,26,3,Jumper
74,Kentavious Caldwell-Pope,DEFENSIVE_REBOUND,None,3:16,3,Lakers,Pistons,66 - 78,1,N/A,N/A,N/A
75,Kentavious Caldwell-Pope,TURNOVER,Andre Drummond,3:08,3,Lakers,Pistons,66 - 78,1,N/A,N/A,N/A
76,Andre Drummond,TURNOVER,Ivica Zubac,3:04,3,Pistons,Lakers,66 - 78,0,N/A,N/A,N/A
77,Kentavious Caldwell-Pope,TURNOVER,None,3:01,3,Lakers,Pistons,66 - 78,1,N/A,N/A,N/A
78,Luke Kennard,FG_MISS,None,2:49,3,Pistons,Lakers,66 - 78,0,27,3,Jumper
79,Ivica Zubac,DEFENSIVE_REBOUND,None,2:46,3,Lakers,Pistons,66 - 78,1,N/A,N/A,N/A
80,Kyle Kuzma,FG_MISS,Andre Drummond,2:33,3,Pistons,Lakers,66 - 78,1,5,3,Jumper
81,Kyle Kuzma,OFFENSIVE_REBOUND,None,2:31,3,Lakers,Pistons,66 - 78,1,N/A,N/A,N/A
82,Kyle Kuzma,FG_UNASSISTED,None,2:31,3,Lakers,Pistons,66 - 80,1, ,3,Jumper
83,Andre Drummond,Unknown,None,2:31,3,Pistons,Lakers,66 - 80,0,N/A,N/A,N/A
84,Team,Unknown,None,2:31,3,Pistons,Lakers,66 - 80,0,N/A,N/A,N/A
85,Langston Galloway,SUBSTITUTION,Griffin Blake,2:31,3,Pistons,Lakers,66 - 80,0,N/A,N/A,N/A
86,Luke Kennard,FG_UNASSISTED,None,2:20,3,Pistons,Lakers,68 - 80,0,14,3,Jumper
87,Kentavious Caldwell-Pope,FG_ASSISTED,Ivica Zubac,1:55,3,Lakers,Pistons,68 - 82,1,15,3,Jumper
88,Langston Galloway,FG_ASSISTED,Jose Calderon,1:38,3,Pistons,Lakers,71 - 82,0,26,3,Jumper
89,Kyle Kuzma,FG_ASSISTED,Brandon Ingram,1:23,3,Lakers,Pistons,71 - 85,1,27,3,Jumper
90,Stanley Johnson,FOUL_ON_FLOOR,None,1:23,3,Pistons,Lakers,71 - 82,0,N/A,N/A,N/A
91,Lance Stephenson,SUBSTITUTION,Hart Josh,1:23,3,Lakers,Pistons,71 - 82,1,N/A,N/A,N/A
92,Kyle Kuzma,FT_MISS,None,1:23,3,Lakers,Pistons,71 - 82,1,N/A,1,N/A
93,Brandon Ingram,OFFENSIVE_REBOUND,None,1:21,3,Lakers,Pistons,71 - 85,1,N/A,N/A,N/A
94,Kentavious Caldwell-Pope,FG_ASSISTED,Brandon Ingram,1:14,3,Lakers,Pistons,71 - 87,1, ,3,Jumper
95,Lance Stephenson,FOUL_ON_FLOOR,None,1:07,3,Lakers,Pistons,71 - 87,1,N/A,N/A,N/A
