,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
95,Zach LaVine,FG_UNASSISTED,None,2:44,2,Bulls,Timberwolves,44 - 46,0,14,3,Jumper
96,Robert Covington,FG_MISS,None,2:27,2,Timberwolves,Bulls,44 - 46,1,28,3,Jumper
97,Justin Holiday,DEFENSIVE_REBOUND,None,2:23,2,Bulls,Timberwolves,44 - 46,0,N/A,N/A,N/A
98,Taj Gibson,FOUL_ON_FLOOR,None,2:18,2,Timberwolves,Bulls,44 - 46,1,N/A,N/A,N/A
99,Zach LaVine,FT,None,2:18,2,Bulls,Timberwolves,45 - 46,0,N/A,1,N/A
100,Antonio Blakeney,SUBSTITUTION,Holiday Justin,2:18,2,Bulls,Timberwolves,45 - 46,0,N/A,N/A,N/A
101,Zach LaVine,FT,None,2:18,2,Bulls,Timberwolves,46 - 46,0,N/A,1,N/A
102,Andrew Wiggins,FG_MISS,None,2:10,2,Timberwolves,Bulls,46 - 46,1,24,3,Jumper
103,Wendell Carter,DEFENSIVE_REBOUND,None,2:06,2,Bulls,Timberwolves,46 - 46,0,N/A,N/A,N/A
104,Jabari Parker,FG_UNASSISTED,None,1:58,2,Bulls,Timberwolves,48 - 46,0,0,2,Layup
105,Wendell Carter,FOUL_ON_FLOOR,None,1:42,2,Bulls,Timberwolves,48 - 46,0,N/A,N/A,N/A
106,Karl-Anthony Towns,FT_MISS,None,1:42,2,Timberwolves,Bulls,48 - 46,1,N/A,1,N/A
107,Team,OFFENSIVE_REBOUND,None,1:42,2,Timberwolves,Bulls,48 - 46,1,N/A,N/A,N/A
108,Karl-Anthony Towns,FT,None,1:42,2,Timberwolves,Bulls,48 - 47,1,N/A,1,N/A
109,Wendell Carter,FG_MISS,None,1:24,2,Bulls,Timberwolves,48 - 47,0, ,3,Jumper
110,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,1:22,2,Timberwolves,Bulls,48 - 47,1,N/A,N/A,N/A
111,Taj Gibson,FG_MISS,None,1:13,2,Timberwolves,Bulls,48 - 47,1,16,3,Jumper
112,Zach LaVine,DEFENSIVE_REBOUND,None,1:11,2,Bulls,Timberwolves,48 - 47,0,N/A,N/A,N/A
113,Wendell Carter,FG_ASSISTED,Jabari Parker,1:00,2,Bulls,Timberwolves,50 - 47,0,0,2,Layup
114,Robert Covington,FG_MISS,None,48.0,2,Timberwolves,Bulls,50 - 47,1,0,2,Layup
115,Team,OFFENSIVE_REBOUND,None,46.0,2,Timberwolves,Bulls,50 - 47,1,N/A,N/A,N/A
116,Derrick Rose,SUBSTITUTION,Covington Robert,46.0,2,Timberwolves,Bulls,50 - 47,1,N/A,N/A,N/A
117,Karl-Anthony Towns,FG_ASSISTED,Andrew Wiggins,31.3,2,Timberwolves,Bulls,50 - 49,1,12,3,Jumper
118,Zach LaVine,TURNOVER,None,15.4,2,Bulls,Timberwolves,50 - 49,0,N/A,N/A,N/A
119,Andrew Wiggins,FG_MISS,None,0.5,2,Timberwolves,Bulls,50 - 49,1,11,3,Jumper
120,Jabari Parker,DEFENSIVE_REBOUND,None,0.5,2,Bulls,Timberwolves,50 - 49,0,N/A,N/A,N/A
121,End of,Unknown,None,0.0,2,Timberwolves,Bulls,50 - 49,1,N/A,N/A,N/A
0,Robert Covington,SUBSTITUTION,Rose Derrick,12:00,3,Timberwolves,Bulls,50 - 49,1,N/A,N/A,N/A
1,Justin Holiday,SUBSTITUTION,Blakeney Antonio,12:00,3,Bulls,Timberwolves,50 - 49,0,N/A,N/A,N/A
2,Andrew Wiggins,FG_MISS,None,11:48,3,Timberwolves,Bulls,50 - 49,1,23,3,Jumper
3,Jabari Parker,DEFENSIVE_REBOUND,None,11:46,3,Bulls,Timberwolves,50 - 49,0,N/A,N/A,N/A
4,shot clock,TURNOVER,None,11:23,3,Bulls,Timberwolves,50 - 49,0,N/A,N/A,N/A
5,Karl-Anthony Towns,FG_ASSISTED,Jeff Teague,11:10,3,Timberwolves,Bulls,50 - 51,1,0,2,Layup
6,Zach LaVine,FG_MISS,None,10:59,3,Bulls,Timberwolves,50 - 51,0, ,3,Jumper
7,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,10:57,3,Timberwolves,Bulls,50 - 51,1,N/A,N/A,N/A
8,Jeff Teague,FG_ASSISTED,Robert Covington,10:52,3,Timberwolves,Bulls,50 - 54,1,25,3,Jumper
9,Zach LaVine,FG_MISS,None,10:35,3,Bulls,Timberwolves,50 - 54,0,26,3,Jumper
10,Jeff Teague,DEFENSIVE_REBOUND,None,10:31,3,Timberwolves,Bulls,50 - 54,1,N/A,N/A,N/A
11,Jeff Teague,FG_MISS,None,10:25,3,Timberwolves,Bulls,50 - 54,1,25,3,Jumper
12,Zach LaVine,DEFENSIVE_REBOUND,None,10:23,3,Bulls,Timberwolves,50 - 54,0,N/A,N/A,N/A
13,Jabari Parker,FG_ASSISTED,Zach LaVine,10:17,3,Bulls,Timberwolves,53 - 54,0,22,3,Jumper
14,Robert Covington,FG_ASSISTED,Karl-Anthony Towns,9:52,3,Timberwolves,Bulls,53 - 56,1,0,2,Layup
15,Zach LaVine,TURNOVER,Robert Covington,9:42,3,Bulls,Timberwolves,53 - 56,0,N/A,N/A,N/A
16,Andrew Wiggins,TURNOVER,None,9:32,3,Timberwolves,Bulls,53 - 56,1,N/A,N/A,N/A
