,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
45,Kemba Walker,FG_ASSISTED,Michael Kidd-Gilchrist,6:08,1,Hornets,Knicks,12 - 14,1,27,3,Jumper
46,Tim Hardaway,FG_MISS,Nicolas Batum,5:47,1,Hornets,Knicks,12 - 14,0,20,2,Jumper
47,Jeremy Lamb,DEFENSIVE_REBOUND,None,5:43,1,Hornets,Knicks,12 - 14,1,N/A,N/A,N/A
48,Willy Hernangomez,SUBSTITUTION,Williams Marvin,5:35,1,Hornets,Knicks,12 - 14,1,N/A,N/A,N/A
49,Kemba Walker,FG_ASSISTED,Nicolas Batum,5:28,1,Hornets,Knicks,12 - 16,1,11,2,Jumper
50,Lance Thomas,FG_MISS,None,5:06,1,Knicks,Hornets,12 - 16,0,25,3,Jumper
51,Nicolas Batum,DEFENSIVE_REBOUND,None,5:01,1,Hornets,Knicks,12 - 16,1,N/A,N/A,N/A
52,Willy Hernangomez,TURNOVER,None,4:51,1,Hornets,Knicks,12 - 16,1,N/A,N/A,N/A
53,Willy Hernangomez,TURNOVER,None,4:51,1,Hornets,Knicks,12 - 16,1,N/A,N/A,N/A
54,Mario Hezonja,SUBSTITUTION,Thomas Lance,4:51,1,Knicks,Hornets,12 - 16,0,N/A,N/A,N/A
55,Kevin Knox,FG_UNASSISTED,None,4:40,1,Knicks,Hornets,14 - 16,0,0,2,Layup
56,Michael Kidd-Gilchrist,FG_MISS,None,4:22,1,Hornets,Knicks,14 - 16,1,0,2,Layup
57,Willy Hernangomez,OFFENSIVE_REBOUND,None,4:17,1,Hornets,Knicks,14 - 16,1,N/A,N/A,N/A
58,Willy Hernangomez,FG_UNASSISTED,None,4:17,1,Hornets,Knicks,14 - 18,1, ,2,Jumper
59,Kevin Knox,FG_UNASSISTED,None,4:07,1,Knicks,Hornets,16 - 18,0,10,2,Jumper
60,Kemba Walker,FG_MISS,None,4:00,1,Hornets,Knicks,16 - 18,1,0,2,Layup
61,Noah Vonleh,DEFENSIVE_REBOUND,None,3:57,1,Knicks,Hornets,16 - 18,0,N/A,N/A,N/A
62,Tim Hardaway,FG_ASSISTED,Mario Hezonja,3:51,1,Knicks,Hornets,18 - 18,0,0,2,Layup
63,Kemba Walker,FG_MISS,Trey Burke,3:35,1,Knicks,Hornets,18 - 18,1,25,3,Jumper
64,Michael Kidd-Gilchrist,OFFENSIVE_REBOUND,None,3:31,1,Hornets,Knicks,18 - 18,1,N/A,N/A,N/A
65,Nicolas Batum,FG_ASSISTED,Michael Kidd-Gilchrist,3:30,1,Hornets,Knicks,18 - 21,1,26,3,Jumper
66,Kevin Knox,FG_MISS,None,3:13,1,Knicks,Hornets,18 - 21,0,16,2,Jumper
67,Nicolas Batum,DEFENSIVE_REBOUND,None,3:10,1,Hornets,Knicks,18 - 21,1,N/A,N/A,N/A
68,Tim Hardaway,FOUL_ON_FLOOR,None,3:01,1,Knicks,Hornets,18 - 21,0,N/A,N/A,N/A
