,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
104,Tyreke Evans,FG_MISS,None,1:17,1,Pacers,76ers,19 - 26,0, ,2,Jumper
105,Domantas Sabonis,OFFENSIVE_REBOUND,None,1:12,1,Pacers,76ers,19 - 26,0,N/A,N/A,N/A
106,Domantas Sabonis,FG_UNASSISTED,None,1:12,1,Pacers,76ers,21 - 26,0, ,2,Jumper
107,Landry Shamet,FG_ASSISTED,T.J. McConnell,1:06,1,76ers,Pacers,21 - 29,1,27,3,Jumper
108,Thaddeus Young,FG_MISS,None,49.9,1,Pacers,76ers,21 - 29,0,8,2,Jumper
109,Domantas Sabonis,OFFENSIVE_REBOUND,None,46.1,1,Pacers,76ers,21 - 29,0,N/A,N/A,N/A
110,Tyreke Evans,FG_UNASSISTED,None,37.1,1,Pacers,76ers,23 - 29,0, ,2,Jumper
111,Joel Embiid,FG_ASSISTED,T.J. McConnell,30.3,1,76ers,Pacers,23 - 32,1,26,3,Jumper
112,Joel Embiid,FOUL_ON_FLOOR,None,8.6,1,76ers,Pacers,23 - 32,1,N/A,N/A,N/A
113,Tyreke Evans,FT_MISS,None,8.6,1,Pacers,76ers,23 - 32,0,N/A,1,N/A
114,Team,OFFENSIVE_REBOUND,None,8.6,1,Pacers,76ers,23 - 32,0,N/A,N/A,N/A
115,Tyreke Evans,FT,None,8.6,1,Pacers,76ers,24 - 32,0,N/A,1,N/A
116,T.J. McConnell,FG_MISS,None,1.0,1,76ers,Pacers,24 - 32,1, ,2,Jumper
117,Joel Embiid,OFFENSIVE_REBOUND,None,1.0,1,76ers,Pacers,24 - 32,1,N/A,N/A,N/A
118,Joel Embiid,FG_UNASSISTED,None,1.0,1,76ers,Pacers,24 - 34,1, ,2,Jumper
119,End of,Unknown,None,0.0,1,76ers,Pacers,24 - 34,1,N/A,N/A,N/A
0,Shake Milton,SUBSTITUTION,Korkmaz Furkan,12:00,2,76ers,Pacers,24 - 34,1,N/A,N/A,N/A
1,Joel Embiid,FOUL_ON_FLOOR,None,11:46,2,76ers,Pacers,24 - 34,1,N/A,N/A,N/A
2,Doug McDermott,FT,None,11:46,2,Pacers,76ers,25 - 34,0,N/A,1,N/A
3,Doug McDermott,FT,None,11:46,2,Pacers,76ers,26 - 34,0,N/A,1,N/A
4,Joel Embiid,FG_MISS,None,11:29,2,76ers,Pacers,26 - 34,1,8,2,Jumper
5,Domantas Sabonis,DEFENSIVE_REBOUND,None,11:27,2,Pacers,76ers,26 - 34,0,N/A,N/A,N/A
6,Tyreke Evans,FG_MISS,None,11:19,2,Pacers,76ers,26 - 34,0,9,2,Jumper
7,Joel Embiid,DEFENSIVE_REBOUND,None,11:19,2,76ers,Pacers,26 - 34,1,N/A,N/A,N/A
8,JJ Redick,SUBSTITUTION,Shamet Landry,11:19,2,76ers,Pacers,26 - 34,1,N/A,N/A,N/A
9,Mike Muscala,SUBSTITUTION,Chandler Wilson,11:19,2,76ers,Pacers,26 - 34,1,N/A,N/A,N/A
10,Tyreke Evans,FOUL_ON_FLOOR,None,11:19,2,Pacers,76ers,26 - 34,0,N/A,N/A,N/A
11,Mike Muscala,FG_MISS,None,11:03,2,76ers,Pacers,26 - 34,1,26,3,Jumper
12,Domantas Sabonis,DEFENSIVE_REBOUND,None,10:59,2,Pacers,76ers,26 - 34,0,N/A,N/A,N/A
13,Thaddeus Young,FG_MISS,None,10:48,2,Pacers,76ers,26 - 34,0,10,2,Jumper
14,Joel Embiid,DEFENSIVE_REBOUND,None,10:39,2,76ers,Pacers,26 - 34,1,N/A,N/A,N/A
15,Joel Embiid,FG_UNASSISTED,None,10:29,2,76ers,Pacers,26 - 36,1,17,2,Jumper
16,Doug McDermott,FG_MISS,None,10:09,2,Pacers,76ers,26 - 36,0,27,3,Jumper
17,Team,DEFENSIVE_REBOUND,None,10:07,2,76ers,Pacers,26 - 36,1,N/A,N/A,N/A
18,JJ Redick,FG_ASSISTED,Joel Embiid,9:55,2,76ers,Pacers,26 - 38,1,22,2,Jumper
19,Cory Joseph,FG_ASSISTED,Doug McDermott,9:42,2,Pacers,76ers,29 - 38,0,26,3,Jumper
20,Joel Embiid,FG_MISS,None,9:31,2,76ers,Pacers,29 - 38,1,28,3,Jumper
21,Thaddeus Young,DEFENSIVE_REBOUND,None,9:31,2,Pacers,76ers,29 - 38,0,N/A,N/A,N/A
22,Domantas Sabonis,FG_MISS,None,9:22,2,Pacers,76ers,29 - 38,0,8,2,Jumper
23,Joel Embiid,DEFENSIVE_REBOUND,None,9:20,2,76ers,Pacers,29 - 38,1,N/A,N/A,N/A
24,Joel Embiid,FG_MISS,None,9:04,2,76ers,Pacers,29 - 38,1,12,2,Jumper
25,Cory Joseph,DEFENSIVE_REBOUND,None,9:02,2,Pacers,76ers,29 - 38,0,N/A,N/A,N/A
26,Cory Joseph,FG_MISS,None,8:58,2,Pacers,76ers,29 - 38,0,0,2,Layup
27,Thaddeus Young,OFFENSIVE_REBOUND,None,8:54,2,Pacers,76ers,29 - 38,0,N/A,N/A,N/A
28,Thaddeus Young,FG_MISS,None,8:54,2,Pacers,76ers,29 - 38,0, ,2,Jumper
29,Thaddeus Young,OFFENSIVE_REBOUND,None,8:52,2,Pacers,76ers,29 - 38,0,N/A,N/A,N/A
30,Thaddeus Young's,FG_MISS,Joel Embiid,8:52,2,76ers,Pacers,29 - 38,0, ,2,Jumper
31,Shake Milton,DEFENSIVE_REBOUND,None,8:50,2,76ers,Pacers,29 - 38,1,N/A,N/A,N/A
32,Mike Muscala,FG_MISS,None,8:44,2,76ers,Pacers,29 - 38,1,25,3,Jumper
33,Domantas Sabonis,DEFENSIVE_REBOUND,None,8:41,2,Pacers,76ers,29 - 38,0,N/A,N/A,N/A
